order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16
1A,Welcome and Introduction,https://codesandbox.io,https://nodejs.org,https://github.com/nvm-sh/nvm,https://code.visualstudio.com/,https://github.com/tonsky/FiraCode,https://fonts.google.com/specimen/Fira+Mono,https://marketplace.visualstudio.com/items?itemName=ms-vscode.Theme-TomorrowKit,https://marketplace.visualstudio.com/items?itemName=steoates.autoimport,https://marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode,https://stevekinney.net,https://twilio.com,https://turing.io,https://dinosaurjs.org,https://bit.ly/electronjs,https://twitter.com/stevekinney,https://github.com/stevekinney,https://instagram.com/stevekinney
1B,Why Use TypeScript? (A Sales Pitch),,,,,,,,,,,,,,,,,
2A,The Very Basics,https://codesandbox.io/s/greeting-bts5l?file=/src/App.tsx,,,,,,,,,,,,,,,,
2B,Refactoring from PropTypes,https://codesandbox.io/s/name-tag-bts5l?file=/src/Application.tsx,,,,,,,,,,,,,,,,
2C,Commonly-Used Props,https://www.typescriptlang.org/docs/handbook/unions-and-intersections.html,https://codesandbox.io/s/name-tag-bts5l?file=/src/Application.tsx,https://codesandbox.io/s/name-tag-solution-slwmk?file=/src/Application.tsx,,,,,,,,,,,,,,
2D,Typing Children,https://codesandbox.io/s/typescript-children-3vu37?file=/src/Application.tsx,,,,,,,,,,,,,,,,
2E,Typing Children (Solution),,,,,,,,,,,,,,,,,
2F,Typing Styling,https://codesandbox.io/s/typescript-children-completed-with-css-6bx23,,,,,,,,,,,,,,,,
3A,useState Hook,https://codesandbox.io/s/avengers-quiz-use-state-z68vj?file=/src/Application.tsx,,,,,,,,,,,,,,,,
3B,Setting State without a Default Value,https://codesandbox.io/s/character-sheet-base-uxlfu?file=/src/Application.tsx,https://codesandbox.io/s/character-sheet-complete-jb8d4?file=/src/Application.tsx:503-620,,,,,,,,,,,,,,,
3C,useEffect,https://codesandbox.io/s/broken-counter-tiu6u?file=/src/App.tsx,,,,,,,,,,,,,,,,
3D,Forms and Events,https://codesandbox.io/s/incident-counter-class-based-4h4d5?file=/src/Application.tsx,https://codesandbox.io/s/incident-counter-5rvp3?file=/src/Application.tsx,,,,,,,,,,,,,,,
3E,Typing Class-based Components,https://codesandbox.io/s/incident-counter-class-based-4h4d5,,,,,,,,,,,,,,,,
3E,Exercise: Dog Facts,https://codesandbox.io/s/dog-facts-24bqt?file=/src/Application.tsx,https://codesandbox.io/s/dog-facts-complete-80d61,,,,,,,,,,,,,,,
4A,Typing Reducers,https://codesandbox.io/s/pizza-calculator-redux-2cd2b?file=/src/Application.tsx,,,,,,,,,,,,,,,,
4B,Reducers (Exercise),https://codesandbox.io/s/incident-counter-5rvp3?file=/src/Application.tsx,,,,,,,,,,,,,,,,
4C,Reducers (Solution),https://codesandbox.io/s/incident-counter-reducer-complete-yryxm?file=/src/application.tsx,,,,,,,,,,,,,,,,
5A,Prologue: Passing Dispatch as a Props,https://codesandbox.io/s/red-green-blue-k6frm?file=/src/Application.tsx,,,,,,,,,,,,,,,,
5B,The Context API,https://codesandbox.io/s/red-green-blue-with-dispatch-8ketd?file=/src/Application.tsx:499-544,,,,,,,,,,,,,,,,
5C,The Context API with State Management,https://codesandbox.io/s/red-green-blue-with-context-hoiiz?file=/src/ColorInput.tsx,https://codesandbox.io/s/red-green-blue-with-context-hoiiz?file=/src/ColorSlider.tsx,,,,,,,,,,,,,,,
5D,Refactoring the Color Inputs,https://codesandbox.io/s/red-green-blue-with-better-color-adjustment-nppsf?file=/src/ColorInput.tsx,,,,,,,,,,,,,,,,
6A,Working with Generics,https://frontendmasters.com/courses/typescript-v2/,https://frontendmasters.com/courses/production-typescript/,https://www.typescriptlang.org/docs/handbook/2/generics.html,https://lodash.com/docs/#tap,https://gist.github.com/stevekinney/d14cbaff3e0aa8ee3e1dcf96837af1ca,,,,,,,,,,,,
6B,A Tour of Utility Types in React,,,,,,,,,,,,,,,,,
6C,Refactoring the Character Cards with Utility Types,https://codesandbox.io/s/character-sheet-utility-types-base-48cqu,https://codesandbox.io/s/character-sheet-utility-types-complete-jb8d4?file=/src/Table.tsx,,,,,,,,,,,,,,,
6D,Utility Types (Exercise),https://codesandbox.io/s/fun-with-utility-types-2lmj2?file=/src/Application.tsx,,,,,,,,,,,,,,,,
6E,Utility Types (Solution),https://codesandbox.io/s/fun-with-utility-types-solution-x0i28?file=/src/Application.tsx,,,,,,,,,,,,,,,,
